Reason,Source,Validation,Pages
Excluded by ‘noindex’ tag,Website,Not Started,459
Not found (404),Website,Not Started,150
Alternate page with proper canonical tag,Website,Not Started,45
Page with redirect,Website,Not Started,36
Crawled - currently not indexed,Google systems,Not Started,977
Duplicate without user-selected canonical,Website,Passed,3
Discovered - currently not indexed,Google systems,Passed,1451
