Content,Video title,Video publish time,Duration,Average view duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
DXbWe98_GWA,"way to success, motivational speech for success in life","Feb 16, 2024",25,0:00:45,4,0.0503,0,34,0
Ofzc0f1BF7E,"After a heavy rain, I feel fresh 🥰","Mar 1, 2024",18,0:00:35,5,0.0492,0,28,0
5ZtZcvV901E,Go get a pet 🐶 Life will be more beautiful 🥰 #dog,"Mar 3, 2024",15,0:00:35,5,0.0489,0,17,0
 -lc6n6N_hVg,"I had a long flight, let me sleep on your legs for a while 🦜","Mar 3, 2024",13,0:00:34,5,0.0486,0,63,1.59
85x8Qk2cimM,Nature Therapy 👍🏽💫,"Feb 29, 2024",18,0:00:35,4,0.0396,0,17,0
8vlswzOnNLg,"Wait Mom, I'm Coming 😧 #naturephotography","Mar 9, 2024",35,0:01:05,3,0.037,0,19,0
KRqhTwbPPQs,Trust the process 🤍,"Mar 13, 2024",6,0:00:11,10,0.0327,0,28,0
bTL9ZTyUU8E,I hope you find some peace of mind in this lifetime,"Mar 6, 2024",4,0:00:18,12,0.0326,0,870,0.34
cvUHxGkZWjg,Be Your Own Therapist 😉 Easy Mind Therapy 💗 #easymindtherapy #eMINDy #selfimprovements,"Feb 26, 2024",16,0:00:28,8,0.0321,0,80,2.5
Vp75DenwEd4,Be Your Own Therapist 🧡 #easymindtherapy,"Mar 3, 2024",9,0:00:28,4,0.0315,0,16,0
9Y-pIM4eil0,Find the Peace 🕊️ daily quotes of the day #relationship,"Mar 8, 2024",14,0:00:28,5,0.0235,0,14,0
VEzbe0sPc7k,Focus on being yourself ❤️💪🏽,"Mar 17, 2024",10,0:00:19,4,0.0217,0,37,5.41
FSo5eIXHT8U,Easy Mind Therapy 💙 #mentalhealthmatters,"Mar 4, 2024",4,0:00:19,4,0.0214,0,13,0
hipip3Nqjl8,I am not saying that you have to fail to succeed 💪🏽🥇,"Mar 11, 2024",9,0:00:09,8,0.0209,0,31,6.45
ZSikGgsOkQ8,And the universe will serve it #dailymotivation,"Mar 10, 2024",12,0:00:11,6,0.0195,0,27,0
k1_y_wFQZgA,Preparing the telescopes to see the moon and stars in the night sky ✨,"Feb 28, 2024",14,0:00:23,3,0.0194,0,81,1.23
r6-VaSJB1oE,"We are eMINDy, Easy Mind Therapy 💞 #selfimprovements","Mar 5, 2024",23,0:00:22,3,0.0191,0,16,0
V85u5HhVk2o,"Life is beautiful, enjoy the moments ❤️","Feb 26, 2024",32,0:01:05,1,0.0182,0,1,0
tC-dZ4_QMEY,relaxing music for stress relief 🌟 #naturetherapy,"Feb 24, 2024",16,0:00:21,3,0.0177,0,6,0
p7hVhaH6zQI,when you don't give a shit to other's bad vibes 😺 #catvideos @kanyewest,"Feb 26, 2024",52,0:00:55,2,0.0154,0,20,0
mzXmztt0xCQ,Focus on your goals and never give up 💪🏽,"Mar 8, 2024",12,0:00:17,4,0.0153,0,47,0
rEoSfkyTyBU,What is she looking for? 😸 #funnycatsvideos #snowymorning,"Feb 27, 2024",26,0:00:52,1,0.0145,0,10,0
uscv-vw71bc,snowy chilling day with my lovely friends 😄 #dogandcatfriends #snowydays,"Feb 26, 2024",23,0:00:46,1,0.0129,0,7,0
wZWQwm1s3uI,Best Therapy for me 😅❤️ #dogwalkinglife,"Feb 25, 2024",6,0:00:45,1,0.0127,0,31,0
i48Sged_5Nc,nature sounds healing music 💚 #naturelove,"Feb 25, 2024",15,0:00:41,1,0.0116,0,25,0
JZ4-4z54B_o,when she wants everything even your working time 😉❤️ #catsvideo #tradingstyle,"Feb 26, 2024",27,0:00:38,1,0.0107,0,9,0
5Hi9jqaA46M,"A wonderful day with Simba, Dog Walking 🌱 #peacefulliving","Feb 25, 2024",12,0:00:14,2,0.008,0,26,0
piqDCUEJ6nY,hope that you have a nice and relax day 💓 #stressrelief,"Feb 24, 2024",16,0:00:27,1,0.0077,0,3,0
tyOwbfsmZDY,just breathe ❤️🌿 #naturetherapy,"Feb 27, 2024",20,0:00:27,1,0.0077,0,6,0
8MplOxhtiD4,she loves my carpet more than her toys 😺 #catlifes,"Feb 27, 2024",23,0:00:27,1,0.0075,0,12,0
